               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.029044,            0.026087,           0.0052076,             0.82527,             0.87259,             0.89133,             0.65637,            0.031318,           0.0081214,           0.0024213,             0.00769,             0.00769,             0.00769
                  37,            0.028753,            0.026508,           0.0051936,             0.85496,             0.80894,             0.85896,             0.64845,            0.034237,            0.007754,           0.0031281,            0.007624,            0.007624,            0.007624
                  38,            0.027517,            0.024122,           0.0052366,             0.86517,             0.91151,             0.86068,             0.63911,            0.034732,           0.0081613,           0.0042088,            0.007558,            0.007558,            0.007558
                  39,            0.027148,             0.02471,           0.0051854,             0.89964,             0.88587,             0.89269,             0.63985,            0.034275,            0.007619,           0.0040772,            0.007492,            0.007492,            0.007492
                  40,            0.027127,            0.026374,           0.0050693,             0.83143,             0.90798,             0.90201,             0.63033,            0.032199,           0.0074837,           0.0052739,            0.007426,            0.007426,            0.007426
                  41,            0.027718,            0.026354,           0.0048691,                0.87,             0.89806,             0.89059,             0.63051,            0.034436,           0.0069758,           0.0054077,             0.00736,             0.00736,             0.00736
                  42,            0.027286,            0.025197,           0.0051625,             0.85909,             0.93089,             0.91011,             0.63825,            0.032547,           0.0070164,           0.0040869,            0.007294,            0.007294,            0.007294
                  43,            0.027131,            0.024775,           0.0048382,             0.89777,             0.82176,              0.8873,             0.64426,            0.033325,           0.0071707,           0.0036272,            0.007228,            0.007228,            0.007228
                  44,            0.026992,            0.024888,           0.0051475,             0.82335,             0.88649,             0.88962,             0.63933,            0.032523,           0.0067428,           0.0023187,            0.007162,            0.007162,            0.007162
                  45,            0.026095,            0.024484,           0.0050645,             0.89038,              0.8474,             0.89415,             0.65937,            0.030623,           0.0071746,           0.0037964,            0.007096,            0.007096,            0.007096
                  46,             0.02726,            0.025444,             0.00488,             0.81339,             0.87242,             0.89575,             0.67039,            0.031736,           0.0072679,           0.0053251,             0.00703,             0.00703,             0.00703
                  47,            0.026881,            0.025413,            0.004883,             0.87685,             0.86749,             0.88996,             0.66844,            0.031043,           0.0071717,           0.0046212,            0.006964,            0.006964,            0.006964
                  48,            0.026565,            0.024232,           0.0046333,             0.82373,             0.91443,             0.90092,              0.6612,            0.033904,           0.0073409,            0.005065,            0.006898,            0.006898,            0.006898
                  49,            0.026385,            0.025201,           0.0045172,             0.83711,             0.91352,             0.89095,             0.68042,            0.030816,           0.0073821,           0.0072474,            0.006832,            0.006832,            0.006832
                  50,            0.024827,             0.02381,           0.0047121,             0.84941,             0.89884,             0.91047,             0.64244,             0.03342,           0.0075544,           0.0051523,            0.006766,            0.006766,            0.006766
                  51,            0.026131,            0.023883,           0.0046545,              0.8868,             0.88485,             0.90506,             0.66623,             0.03144,           0.0073833,           0.0064223,              0.0067,              0.0067,              0.0067
                  52,              0.0251,            0.024121,           0.0048813,              0.8311,             0.91557,             0.90122,             0.63651,            0.031215,           0.0074491,           0.0049812,            0.006634,            0.006634,            0.006634
                  53,            0.024871,            0.022742,           0.0046865,             0.87795,             0.89869,             0.92194,             0.66554,            0.030504,           0.0071768,           0.0057153,            0.006568,            0.006568,            0.006568
                  54,             0.02459,            0.022442,           0.0043517,              0.8853,             0.92074,             0.92813,             0.71002,            0.028664,           0.0068168,           0.0040306,            0.006502,            0.006502,            0.006502
                  55,            0.024849,            0.023701,           0.0047528,              0.9125,             0.87737,             0.92536,             0.66136,            0.030718,           0.0072981,           0.0038925,            0.006436,            0.006436,            0.006436
                  56,            0.025312,            0.023409,           0.0047854,             0.85729,             0.90927,             0.91235,              0.6856,            0.030984,           0.0070377,           0.0087394,             0.00637,             0.00637,             0.00637
                  57,            0.024782,             0.02394,           0.0045048,             0.81446,             0.89806,             0.91402,             0.69728,            0.031062,           0.0066972,           0.0063349,            0.006304,            0.006304,            0.006304
                  58,            0.024414,            0.023414,            0.004643,              0.8242,             0.90961,             0.90836,             0.67209,            0.031258,           0.0070458,             0.00325,            0.006238,            0.006238,            0.006238
                  59,            0.025165,            0.023071,            0.004715,             0.86799,             0.89084,             0.91634,             0.68183,            0.029448,           0.0065846,           0.0039633,            0.006172,            0.006172,            0.006172
                  60,            0.024343,            0.023987,           0.0043814,             0.88233,             0.86526,             0.91375,             0.64537,            0.029879,           0.0069799,              0.0025,            0.006106,            0.006106,            0.006106
                  61,            0.024347,            0.022555,           0.0042851,              0.8488,             0.96154,             0.93802,             0.65726,            0.030447,           0.0066097,           0.0040224,             0.00604,             0.00604,             0.00604
                  62,            0.024358,            0.022235,           0.0045424,              0.8737,             0.87768,             0.94118,             0.71522,            0.030695,           0.0063181,           0.0033238,            0.005974,            0.005974,            0.005974
